1,홍길동,78,52,70,200,66.6666666667,1
2,유관순,99,58,56,213,71,1
3,이순신,93,79,53,225,75,1
4,강감찬,64,65,80,209,69.6666666667,1
5,김구,99,70,89,258,86,1
6,김유신,90,86,95,271,90.3333333333,1
7,홍길자,83,93,75,251,83.6666666667,1
8,홍길순,95,71,59,225,75,1
9,smabbott8,81,83,67,231,77,1
10,dunderdown9,76,83,97,256,85.3333333333,1
11,kdopplera,94,64,96,254,84.6666666667,1
12,lhayshamb,61,74,84,219,73,1
13,akeatchc,71,92,72,235,78.3333333333,1
14,kmccloughend,61,80,70,211,70.3333333333,1
15,rruddocke,82,79,93,254,84.6666666667,1
16,mmcgiffief,52,97,81,230,76.6666666667,1
17,jdunkersleyg,63,80,67,210,70,1
18,hsemirazh,54,90,58,202,67.3333333333,1
19,awhitcheri,50,52,77,179,59.6666666667,1
20,mcolbournj,99,55,65,219,73,1
